>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
frozen vegetable mix,325
fish,125
ice,325
frozen meat,25
>Refrigerated
fish,350
beef,450
>Refrigerated
milk,425
yoghurt,275
beef,100
>Refrigerated
yoghurt,50
chicken,300
cheese,450
>Refrigerated
celery,350
asparagus,275
chicken,125
grapes,50
>Refrigerated
tomatoes,300
mushrooms,325
grapes,175
>Refrigerated
tomatoes,100
pasta,250
lettuce,350
biscuits,100
>Ordinary
biscuits,475
chips,200
beans,325
>Ordinary
bread,200
chocolate,375
rice,225
beans,200
>Ordinary
rice,75
nuts,250
